masterid,inj,fat,total,y,x
14,2,0,2,40.6732633507317,-74.0002820604666
30,14,0,14,40.6604729213676,-73.9980149148955
46,2,0,2,40.6779964354151,-74.004145639829
84,14,0,14,40.6834827311845,-73.9668896223823
86,3,0,3,40.6644252125031,-73.9869510176397
240,4,0,4,40.6981158124442,-73.977531016526
302,6,0,6,40.6867204533713,-73.9822316465539
317,4,1,5,40.667436468133,-73.984437332142
332,15,0,15,40.6750770823784,-73.9880039921574
357,5,0,5,40.6777162938235,-73.9732483991622
451,6,0,6,40.6594702477855,-74.002311792929
520,43,0,43,40.6960335058297,-73.9845286911647
635,4,0,4,40.6848908122843,-73.962107515153
680,13,0,13,40.6566442572391,-74.0052619628627
734,12,0,12,40.6814869042375,-73.9770231689588
809,6,0,6,40.6824193709827,-73.9706834540229
927,3,0,3,40.678680322749,-73.9904264006023
932,7,0,7,40.6476273359049,-73.9772631114384
963,11,0,11,40.6837703217081,-73.9787692802626
1119,2,0,2,40.6915350425193,-73.9937365971114
1155,11,0,11,40.6770489308199,-73.9800316780268
1235,6,0,6,40.6627933707948,-73.9988710910901
1394,2,0,2,40.6591078301431,-73.9957527862257
1514,9,0,9,40.6860824250986,-73.9909031512232
1573,5,0,5,40.687138652657,-73.987429243947
1582,27,0,27,40.6774089433793,-73.9830536616035
1676,3,0,3,40.6767095670561,-74.0047640371853
1802,4,0,4,40.6972459541175,-73.9851033991904
1929,2,0,2,40.6539125063466,-73.9730510361327
1963,5,0,5,40.6867568357435,-73.9755198841024
2026,5,0,5,40.6598627565311,-73.9775117145401
2056,5,0,5,40.6816159411617,-73.970826026566
2130,6,1,7,40.6615923962921,-73.9968490592149
2262,2,0,2,40.6801211580707,-74.0013398065456
2302,1,0,1,40.685592247244,-73.9733160207871
2333,6,0,6,40.6626970704063,-73.9956999931191
2343,2,0,2,40.6877516241795,-73.9933032648949
2717,24,0,24,40.677377383402,-73.9725025499419
2767,6,0,6,40.6645171917119,-73.9970746028768
2805,4,0,4,40.6928458551239,-73.9931030003486
2875,2,0,2,40.6814248804083,-73.9912965406151
2921,8,0,8,40.6786997057384,-73.9757492950265
2958,1,0,1,40.6738128084385,-73.9923693795184
2961,5,0,5,40.6854511377749,-73.9830913805899
2971,8,0,8,40.6750970247758,-73.9750301294423
3055,1,0,1,40.6615948214644,-73.9793505990621
3056,16,0,16,40.6867277519284,-73.9904673948337
3092,13,1,14,40.6821183973327,-73.9765958477447
3149,15,0,15,40.6950211775168,-73.9888317573472
3162,1,0,1,40.6540023694212,-73.9799255149604
3191,2,0,2,40.6755693615551,-73.985530821848
3205,5,0,5,40.6873140718003,-73.9919398517594
3302,4,0,4,40.6877516114801,-73.9697831424286
3341,20,0,20,40.687944435117,-73.9814004501392
3385,29,1,30,40.6609253305783,-73.9607784555631
3422,1,0,1,40.6794824280732,-73.9953735435053
3440,3,0,3,40.6778355311301,-74.0061633848764
3489,3,0,3,40.6778416215867,-73.9937251086767
3519,10,0,10,40.6840535484739,-73.981561515369
3545,3,0,3,40.6627862480402,-73.9883172905928
3557,9,0,9,40.6632837416403,-73.9845915733209
3602,6,0,6,40.6918710958919,-73.9655998946191
3724,11,0,11,40.6759063795175,-73.969497388137
3741,7,2,9,40.6736866732735,-74.0000760508663
3745,3,0,3,40.6843192122469,-73.9670556819999
3810,5,0,5,40.6920254163838,-73.9817902589642
3824,3,0,3,40.6771318250949,-73.9984178707672
3865,11,0,11,40.6674981349745,-73.981070305451
4007,5,0,5,40.683542454858,-73.9843741077291
4022,30,0,30,40.6896313100297,-73.985739367655
4032,7,0,7,40.6807900767205,-73.9917279710139
4038,1,0,1,40.6840197089239,-73.9962317188609
4122,4,0,4,40.665693091621,-73.9825812568068
4188,15,0,15,40.6982465113869,-73.9805441915306
4199,5,0,5,40.6892277200104,-73.9846966050219
4211,10,0,10,40.6633027497295,-73.9606154482041
4219,6,0,6,40.6640623238093,-73.9611088685485
4348,5,0,5,40.6896218886342,-73.9731263840452
4350,2,0,2,40.6565911695982,-73.9840239719453
4375,2,0,2,40.6800541742967,-73.9992703747163
4383,7,0,7,40.6783277048483,-73.9720267020851
4398,3,0,3,40.6757681066315,-73.9841957158948
4453,1,0,1,40.6770441326074,-74.0007183439199
4489,1,0,1,40.670042003431,-74.0018319796413
4547,3,0,3,40.6975420425449,-73.9831179408039
4571,1,0,1,40.6899990448213,-73.9633215220388
4714,24,0,24,40.6898307266879,-73.9786249358815
4753,17,0,17,40.6895610552546,-73.9671153905625
4754,1,0,1,40.6747127759371,-73.9689991855093
4823,1,0,1,40.6807917203312,-74.0010178399908
4842,7,0,7,40.6605774136225,-73.9906376527043
4883,8,0,8,40.6790470466089,-73.9786766984719
4951,6,0,6,40.6733987598457,-73.9827810915466
4956,1,0,1,40.6550367819266,-73.9784680385504
5117,7,0,7,40.6738917970786,-73.9999118369972
5139,9,0,9,40.6635897844769,-73.9910890677926
5190,6,0,6,40.6841814285923,-73.9839529273694
5210,8,0,8,40.666138227862,-73.9922358886377
5220,3,0,3,40.6850243300984,-73.9861191220013
5257,10,0,10,40.6764519429601,-73.9741091336148
5279,5,0,5,40.678681778093,-73.9976715705003
5465,7,0,7,40.692121255097,-73.9843409349821
5617,2,0,2,40.6968393433799,-73.9870623506496
5627,1,0,1,40.6963860264248,-73.97738952769
5652,14,0,14,40.6779986765132,-73.9730525162741
5663,13,0,13,40.6859457185089,-73.9941725783362
5684,8,0,8,40.6980048114289,-73.9747866385728
5687,8,0,8,40.669782450924,-73.9857953892765
5873,12,0,12,40.6936143337783,-73.9825112306479
5874,2,0,2,40.6848159922964,-73.9990806606614
5918,3,0,3,40.6920138953405,-73.9814862354706
5957,44,0,44,40.6886155545031,-73.9891681273894
6034,50,1,51,40.6909951536995,-73.9893203748875
6148,6,0,6,40.6936048032808,-73.992743660689
6234,5,0,5,40.6796294441688,-73.9782853478832
6241,3,0,3,40.6662956656109,-73.9820777058693
6331,9,0,9,40.6875351121433,-73.9774977800519
6394,5,0,5,40.6690530588311,-73.9930289893447
6430,13,1,14,40.683418142035,-73.9819924404977
6467,4,0,4,40.690666612661,-73.9853639190662
6542,21,0,21,40.6830554112998,-73.9737636553777
6666,1,0,1,40.6860962527486,-73.9963580846742
6845,23,0,23,40.6734879037214,-73.9729554848718
6859,3,1,4,40.6741460043447,-74.0060054662333
6864,2,0,2,40.6829092287797,-73.9847980526386
6887,7,0,7,40.6804665775552,-73.9613410919663
6890,9,1,10,40.681227499011,-73.9804747573826
6958,12,0,12,40.693047701321,-73.9907289605368
7021,1,0,1,40.6579896327238,-73.9969182423738
7187,5,0,5,40.6540672342046,-74.000995192459
7242,2,0,2,40.6508189005888,-73.9727310854499
7245,7,0,7,40.6895819224252,-73.9721359066234
7264,6,0,6,40.6929574142703,-73.9829846625677
7272,9,0,9,40.6621414925254,-73.9822303427087
7299,4,0,4,40.6791037944567,-73.9873928837779
7519,89,0,89,40.6888195617322,-73.9808794357968
7674,4,0,4,40.6854524963185,-73.9944080242995
7821,20,0,20,40.6851959519717,-73.9782741602849
7928,3,0,3,40.6745013609067,-73.9714297335229
8023,1,0,1,40.6790450327923,-73.9956713787369
8057,4,0,4,40.6807332032967,-73.9745039593145
8227,2,0,2,40.6527353540149,-73.976081628723
8283,26,0,26,40.6853236272441,-73.9807014269495
8362,4,0,4,40.6851001424276,-73.9945780677691
8371,1,0,1,40.6803531272557,-73.9647902010451
8408,34,0,34,40.6866820000104,-73.9793629763914
8529,6,0,6,40.687365125814,-73.9900350027276
8572,21,0,21,40.6632641530535,-73.995113506726
8632,7,0,7,40.6559889376739,-74.0026764558314
8707,2,0,2,40.6867135978043,-73.9790571080391
8969,1,0,1,40.6778332956045,-73.9882538291493
9108,2,0,2,40.6509081598611,-73.9717155599778
9273,28,0,28,40.6914576676934,-73.9873478747551
9363,3,0,3,40.6822813061091,-73.9852367249197
9458,10,0,10,40.6729880970761,-73.9688565778591
9604,16,0,16,40.680189365785,-73.9679538491692
9679,3,0,3,40.6950269410256,-73.9908034827046
9748,9,0,9,40.6751456850581,-73.9813261455451
9766,6,0,6,40.6675694945256,-73.9777169536113
9842,13,0,13,40.6931720241056,-73.970859337912
10048,6,0,6,40.6884082523811,-73.9865682220463
10060,1,0,1,40.6488228278844,-73.971559304474
10075,27,0,27,40.6878717429403,-73.9783470131128
10111,2,0,2,40.6669633082379,-73.9782126417628
10194,1,0,1,40.6741228715127,-73.9725268916651
10298,2,1,3,40.6475956804412,-73.9735039681569
10309,1,0,1,40.6609362214712,-73.9832371205289
10354,2,0,2,40.6756309487927,-74.0035020225607
10368,6,0,6,40.6679455114118,-73.9907249910787
10373,58,0,58,40.6703552132343,-73.9887101549097
10389,1,0,1,40.6841445622789,-73.9994005474968
10431,28,0,28,40.6870254047251,-73.9762058574088
10491,1,0,1,40.6563808585506,-73.9806528768064
10505,9,0,9,40.6903578563539,-73.9897328590901
10629,3,0,3,40.6918069598909,-73.9882070140922
10709,7,0,7,40.6732708244961,-73.9895110365051
10783,4,0,4,40.6721933061202,-73.9837862328299
10795,3,0,3,40.6825325726649,-73.9623528060776
10850,13,0,13,40.6898061934054,-73.9779394087253
10908,5,0,5,40.6854582343381,-73.972312495917
10918,1,0,1,40.6747573068124,-74.0105535033287
10930,2,0,2,40.6580698018009,-74.0076188858458
10947,2,0,2,40.6736944863899,-73.9671912929246
11012,4,0,4,40.6856604544477,-73.9856896925384
11170,8,0,8,40.6633496770534,-73.9982857229901
11222,7,0,7,40.6650284632955,-73.9864492895104
11268,4,0,4,40.6726311500682,-73.9700024457293
11276,3,0,3,40.6860645785941,-73.971433747278
11286,6,0,6,40.6639354592519,-73.9976745142616
11331,1,0,1,40.6506370761326,-73.9778328492239
11336,49,0,49,40.6869292850436,-73.9848293074182
11350,1,0,1,40.6557457187811,-73.9992565696359
11364,4,0,4,40.6789338428947,-73.9619564442302
11366,2,0,2,40.6728029497463,-74.0066499946336
11415,4,0,4,40.667022097653,-73.9748332757285
11431,2,0,2,40.6700290978369,-73.9723172095933
11608,2,0,2,40.6873970951338,-73.9957313466558
11633,4,0,4,40.6617340048634,-73.9607697023168
11634,5,1,6,40.6707905761445,-73.9948952244377
11644,11,0,11,40.6711752539847,-73.9746985726425
11755,3,0,3,40.6687697526994,-73.9767056230869
11798,1,0,1,40.688458734156,-73.9827147158506
11807,2,0,2,40.6576008176539,-73.9901884157472
11849,32,0,32,40.6655071820441,-73.992770006773
11855,5,0,5,40.6753018103269,-73.9666125480511
11961,15,0,15,40.6794190972757,-73.9682266442558
12015,16,0,16,40.6605093931496,-73.9628129855312
12113,6,0,6,40.6626811824551,-73.9850943574484
12147,21,0,21,40.6870908845702,-73.9765696294013
12209,3,0,3,40.6826704649049,-73.9718628458401
12241,2,0,2,40.6940743228974,-73.975983933769
12301,16,0,16,40.6959914846067,-73.9832121450441
12322,6,0,6,40.6851927102323,-73.9770274909718
12323,7,0,7,40.6809554553129,-73.9676782842348
12354,5,0,5,40.6879584032319,-73.991508770344
12364,6,0,6,40.6903454507676,-73.9920527146011
12497,1,0,1,40.6726423672782,-73.9696639405561
12519,8,1,9,40.662143222125,-73.9962804181134
12542,9,0,9,40.6895438200854,-73.9711427452808
12580,2,0,2,40.6757896457286,-74.0011660396367
12795,4,0,4,40.6758436726594,-73.9990391028863
12804,8,0,8,40.6650917481679,-73.983084644596
12823,14,0,14,40.6850773089249,-73.97789404547
13011,1,0,1,40.6793144274855,-73.989985331341
13063,3,0,3,40.6561426148699,-73.9772967525224
13174,2,0,2,40.6615394837977,-73.9827325233153
13311,13,0,13,40.6744334110364,-73.9669358499589
13318,15,0,15,40.6959646845084,-73.9703976424991
13355,11,0,11,40.6757783690518,-73.9808890231835
13378,5,0,5,40.6834731493392,-73.9997255617786
13447,18,0,18,40.6933417120905,-73.9668804199574
13461,10,0,10,40.6961857345838,-73.9764034159546
13498,5,0,5,40.6845894534384,-73.989128407523
13523,18,0,18,40.6754548439144,-73.9632628592763
13576,1,0,1,40.6469274038668,-73.9823093970185
13609,8,0,8,40.6727294592635,-73.9709140888258
13612,6,0,6,40.6760728969771,-73.977530896745
13637,3,0,3,40.6727951576462,-73.9692028081377
13671,3,0,3,40.6600107531098,-74.0017506761411
13704,15,0,15,40.6786391203792,-73.9735088340844
13721,10,0,10,40.6681032970049,-73.9805690799559
13739,23,0,23,40.6933608181606,-73.9758481580472
13740,1,0,1,40.6866044188943,-73.9938583333505
13741,2,0,2,40.675707377802,-73.9874786863966
13821,1,0,1,40.648605813196,-73.9727540102016
13835,51,0,51,40.6896901233195,-73.9923636703444
13839,3,0,3,40.6921544437395,-73.9934375988842
13844,3,0,3,40.6686420456201,-73.9834345095095
13878,2,0,2,40.6599127546969,-73.998599534821
13904,2,0,2,40.6862883074078,-73.9694893988964
13905,13,0,13,40.6776799984557,-73.9795980680372
13967,1,0,1,40.6622018324705,-73.9788547586696
14010,2,0,2,40.6810085220097,-73.9861038825552
14018,3,0,3,40.6552460965804,-73.9817956867122
14236,4,0,4,40.6803154547352,-73.9968864442723
14278,6,0,6,40.6744694200807,-74.001970047005
14374,6,0,6,40.6484697132149,-73.9783679111501
14473,2,0,2,40.6762710526805,-74.0031936433486
14569,9,0,9,40.6884420286598,-73.992966703847
14655,2,0,2,40.677689532974,-74.0004045957824
14669,9,0,9,40.686627032169,-73.9665292397193
14737,2,0,2,40.6867529058272,-73.9960411989814
14925,22,0,22,40.6808719052919,-73.9751431675682
14981,6,1,7,40.6815191768606,-73.9832643447636
15042,8,0,8,40.6795019491108,-73.9972825251325
15134,21,0,21,40.6601163303649,-73.960611014875
15145,7,0,7,40.6644016220176,-73.993930163985
15350,20,0,20,40.6886382434273,-73.9802576413644
15380,14,0,14,40.6754380179609,-73.977960000067
15535,1,0,1,40.6795859192935,-73.9650669434434
15554,7,0,7,40.6751747863925,-73.9846966440159
15666,29,0,29,40.6932532266817,-73.9730956884465
15801,23,0,23,40.6839556664075,-73.9895566258144
15853,5,0,5,40.6816162801112,-73.9985165605807
15876,8,0,8,40.6607898360545,-73.9940041912991
15932,10,0,10,40.6831267197114,-73.9874295743874
15964,5,0,5,40.6770784043681,-73.9863092684732
15989,1,0,1,40.6803726388602,-73.9865330296599
16040,26,0,26,40.6937205842733,-73.9904528662364
16156,2,0,2,40.6699733711643,-73.9756967397556
16158,1,0,1,40.6812171221291,-73.9886992038771
16177,8,0,8,40.6662322142357,-73.9854451798374
16253,2,0,2,40.6586907958284,-73.9890128662305
16362,4,0,4,40.659794493351,-73.9808747532348
16416,7,0,7,40.6600189040546,-73.9912167116673
16461,9,0,9,40.6932298623787,-73.9678435860631
16474,1,0,1,40.6524992286424,-73.9657512146239
16501,15,0,15,40.6624687442558,-73.9922549409222
16656,55,0,55,40.6904675129899,-73.9878920161184
16703,13,0,13,40.6598168639088,-73.9878405945525
16798,46,1,47,40.6922123434368,-73.9890018036142
16819,1,0,1,40.6656416622893,-73.9959952737922
16823,7,0,7,40.689731023371,-73.9901713882259
17004,44,2,46,40.684052286312,-73.9774572214131
17189,6,0,6,40.6980869473363,-73.9767864267832
17212,9,0,9,40.6891367440781,-73.9907066956152
17380,3,0,3,40.6651547537023,-73.9797204309186
17546,8,1,9,40.6783438254786,-73.9854292059888
17555,9,0,9,40.6687054401976,-73.9800685203842
17574,1,0,1,40.6583134038179,-74.0035194820548
17577,4,0,4,40.6947961273321,-73.9824535071743
17628,31,0,31,40.6848566151829,-73.9780428956525
17848,6,0,6,40.6737045074082,-73.9714391950645
17875,1,0,1,40.6540793657812,-73.977596348252
17892,16,0,16,40.6731991654017,-73.9763223344274
17897,24,1,25,40.6894675214971,-73.9691036250392
18008,1,0,1,40.6975063003245,-73.9822735432584
18103,4,0,4,40.6902921722701,-73.9844321632072
18105,15,0,15,40.6890968975775,-73.9926541941702
18147,3,0,3,40.6829573695931,-73.9978711444779
18156,22,0,22,40.6902394795511,-73.994360928104
18170,17,0,17,40.6661695176434,-73.9888092413146
18240,5,0,5,40.670989193118,-73.9847898709216
18274,29,0,29,40.6632850544959,-73.9609559547827
18308,3,0,3,40.6745729359184,-73.9852011804375
18387,2,0,2,40.697446274177,-73.9805092623829
18453,7,0,7,40.6744799969188,-73.9998757664503
18462,7,0,7,40.6723182689866,-73.977056291938
18466,25,1,26,40.6472971615173,-73.9802911550897
18510,5,0,5,40.6921576966557,-73.9852794145982
18535,2,0,2,40.675463238611,-73.9716184364068
18545,2,0,2,40.6870863755744,-73.9755899604274
18603,14,0,14,40.6931203828116,-73.9688098960398
18617,1,0,1,40.673926683311,-73.9687173315317
18712,14,0,14,40.6881746442553,-73.9839877759866
18713,15,0,15,40.6958468475547,-73.9673829632083
18782,1,0,1,40.6693721393002,-73.976200755274
18797,2,0,2,40.6979604494507,-73.9737987101537
18865,5,0,5,40.6705761414033,-73.9751961692292
18901,13,0,13,40.6855130822966,-73.9742815440292
19076,3,0,3,40.6771935181983,-74.0064916268894
19085,3,1,4,40.6603973807617,-73.9872320590814
19112,18,1,19,40.6802666161173,-73.9746911832326
19140,3,0,3,40.6558270809869,-73.9812222963028
19142,2,0,2,40.6521277284703,-73.9739999226597
19236,7,0,7,40.6899004142435,-73.9804294114563
19284,4,0,4,40.6799541112898,-73.9813291559692
19286,23,0,23,40.6896725885646,-73.9661349910846
19412,14,0,14,40.6783614170115,-73.979141428601
19422,4,0,4,40.6820104091957,-73.9686931990974
19560,32,0,32,40.6874484237802,-73.980111125513
19643,10,0,10,40.6837407917054,-73.995232408622
19879,4,0,4,40.6611546584385,-73.980171610644
19886,23,0,23,40.6925229886728,-73.9908190661983
19965,4,0,4,40.6845459921568,-73.9650824688997
20034,11,0,11,40.684129413187,-73.968991979382
20067,8,0,8,40.6871272297299,-73.9936042325272
20132,4,0,4,40.6948402143946,-73.9839188829581
20144,1,0,1,40.6712482247771,-73.9713252641371
20146,1,0,1,40.675492582661,-73.9675187486747
20153,4,0,4,40.6551861578411,-73.999837866341
20173,2,0,2,40.6918963882641,-73.9775449667908
20181,1,0,1,40.6728580233746,-73.9799168603125
20235,17,0,17,40.6747414879082,-73.9977697950727
20287,2,0,2,40.6833188436243,-73.9899919930927
20317,11,0,11,40.6909926366798,-73.9917417064314
20439,1,0,1,40.6775496842919,-73.9913698369996
20479,3,0,3,40.6821622060391,-73.9605951423503
20510,10,0,10,40.6666952149203,-73.9616162765539
20557,19,0,19,40.6896975086704,-73.9751056641424
20560,2,0,2,40.6742616122468,-73.9919945114697
20574,1,0,1,40.6627433729213,-73.981727996975
20620,4,0,4,40.6509655985324,-73.9769718115786
20654,10,0,10,40.6818574042707,-73.9800465503088
20731,10,0,10,40.6842049033959,-73.9680542185986
20789,2,0,2,40.6708612467158,-73.9915225611037
20844,7,0,7,40.6815626154642,-73.9665765027379
20903,4,0,4,40.695075765029,-73.9900911492423
20909,10,0,10,40.6901627292714,-73.9870998590555
20918,6,0,6,40.675400028632,-73.9974470277739
20966,3,0,3,40.6828559483297,-73.9727878190805
20991,2,0,2,40.6513984928682,-73.972534447384
21009,2,0,2,40.6698471382276,-73.9824284220286
21031,46,1,47,40.6835132316319,-73.9759502338688
21039,1,0,1,40.6828033563519,-74.0000486532
21229,5,0,5,40.6588094381451,-73.9817169658412
21244,5,0,5,40.6870895783816,-73.9625465737322
21292,10,0,10,40.6685783552627,-73.9867997720309
21308,15,1,16,40.6746254268986,-74.0077109287747
21356,7,0,7,40.6917556827816,-73.9665662850349
21367,5,1,6,40.6802647958171,-73.9778508810719
21384,9,0,9,40.6757610524002,-74.0013603581884
21387,4,0,4,40.6506946001816,-73.972116898521
21396,11,0,11,40.6650735752831,-73.9965586609636
21414,13,0,13,40.6554285970109,-74.0032583526192
21419,16,0,16,40.6727958758171,-73.9832819813734
21500,1,0,1,40.6714028027639,-73.994383667558
21517,7,0,7,40.687983690811,-73.9677874993873
21546,5,0,5,40.6879918368318,-73.9896124229485
21605,18,0,18,40.6649633438874,-73.9898147206394
21610,3,0,3,40.6843887551029,-73.9865630341727
21646,3,0,3,40.6845632881652,-73.9981657051363
21673,11,0,11,40.6667699405995,-73.9883066067446
21803,1,0,1,40.6571503527862,-73.9834386401537
22035,1,0,1,40.6788374597501,-73.9957939463999
22039,6,0,6,40.6638858843512,-73.9840888038601
22066,21,0,21,40.6837268125002,-73.9679605479813
22159,2,0,2,40.6875918766871,-73.964626638654
22206,27,1,28,40.6877731158013,-73.9870000148008
22248,5,0,5,40.6723146554425,-73.9992650976942
